lap_number,lap_nature,lap_duration,avg_speed_kmh,max_speed_kmh,avg_heart_rate,max_heart_rate,total_distance,total_elapsed_time,avg_altitude,avg_cadence,avg_temperature,enhanced_avg_altitude,enhanced_max_altitude,enhanced_min_altitude,lap_duration_min_sec,max_altitude,max_cadence,min_altitude,min_heart_rate,total_elapsed_time_min_sec
30,Warm-up,345.7,10.41,16.85,150,158,1000.0,345.667,1314.2,78,19,1314.2,1328.2,1292.0,05:45,1328.2,98,1292.0,139,05:45
31,Warm-up,294.3,12.23,18.18,147,159,1000.0,294.25,1252.0,83,19,1252.0,1305.0,1198.4,04:54,1305.0,116,1198.4,140,04:54
32,Warm-up,242.7,14.83,18.32,144,149,1000.0,242.75,1151.6,84,19,1151.6,1199.0,1104.6,04:02,1199.0,95,1104.6,139,04:02
33,Warm-up,262.8,13.7,17.5,144,152,1000.0,262.75,1061.8,80,19,1061.8,1106.0,1025.0,04:22,1106.0,84,1025.0,138,04:22
34,Warm-up,274.3,13.13,14.0,145,148,1000.0,274.25,1012.0,83,19,1012.0,1025.0,998.0,04:34,1025.0,85,998.0,141,04:34
35,Warm-up,270.0,13.33,14.36,145,150,1000.0,270.0,986.2,83,20,986.2,998.0,972.5999999999999,04:30,998.0,87,972.5999999999999,141,04:30
36,Warm-up,274.3,13.12,14.62,142,148,1000.0,274.334,958.0,85,20,958.0,972.5999999999999,943.5999999999999,04:34,972.5999999999999,88,943.5999999999999,137,04:34
37,Warm-up,279.9,12.86,14.83,145,149,1000.0,279.916,938.0,84,19,938.0,943.5999999999999,930.5999999999999,04:39,943.5999999999999,86,930.5999999999999,142,04:39
38,Warm-up,282.4,12.75,15.62,143,155,1000.0,282.417,918.0,84,18,918.0,935.4000000000001,893.0,04:42,935.4000000000001,87,893.0,134,04:42
39,Warm-up,390.8,9.21,16.6,136,154,1000.0,390.833,910.5999999999999,79,18,910.5999999999999,921.4000000000001,892.8,06:30,921.4000000000001,84,892.8,106,06:30
40,Warm-up,295.8,12.17,17.06,146,157,1000.0,295.834,880.2,82,17,880.2,892.8,874.0,04:55,892.8,85,874.0,137,04:55
41,Warm-up,310.7,11.59,14.11,146,153,1000.0,310.666,878.0,81,17,878.0,882.5999999999999,865.8,05:10,882.5999999999999,96,865.8,138,05:10
42,Warm-up,314.5,11.45,15.8,144,155,1000.0,314.5,835.2,84,18,835.2,867.2,806.8,05:14,867.2,94,806.8,132,05:14
43,Warm-up,447.8,8.04,11.48,149,157,1000.0,447.834,875.0,71,18,875.0,908.4000000000001,821.5999999999999,07:27,908.4000000000001,83,821.5999999999999,142,07:27
44,Warm-up,336.0,10.71,12.28,143,149,1000.0,336.0,910.5999999999999,81,18,910.5999999999999,914.8,905.8,05:36,914.8,83,905.8,136,05:36
45,Warm-up,417.9,8.61,16.52,144,153,1000.0,417.916,929.5999999999999,68,18,929.5999999999999,960.0,902.0,06:57,960.0,89,902.0,136,06:57
46,Warm-up,264.8,13.6,14.94,142,147,1000.0,264.75,892.8,82,19,892.8,921.8,862.2,04:24,921.8,84,862.2,138,04:24
47,Warm-up,302.7,11.89,15.98,146,152,1000.0,302.751,861.0,82,20,861.0,869.5999999999999,852.8,05:02,869.5999999999999,85,852.8,137,05:02
48,Warm-up,317.8,11.33,14.76,143,149,1000.0,317.85,799.2,84,21,799.2,853.2,739.8,05:17,853.2,130,739.8,139,05:17
49,Warm-up,496.4,7.25,13.9,149,156,1000.0,496.399,778.8,66,22,778.8,823.8,742.5999999999999,08:16,823.8,85,742.5999999999999,138,08:16
50,Warm-up,381.0,9.45,16.13,147,151,1000.0,381.0,800.5999999999999,73,23,800.5999999999999,824.5999999999999,785.4000000000001,06:21,824.5999999999999,102,785.4000000000001,138,06:21
51,Warm-up,297.5,12.1,15.59,143,152,1000.0,297.5,775.0,83,23,775.0,801.0,761.0,04:57,801.0,86,761.0,137,04:57
52,Warm-up,327.8,10.98,12.96,142,149,1000.0,327.835,763.8,83,23,763.8,773.0,734.0,05:27,773.0,124,734.0,134,05:27
53,Warm-up,295.8,12.17,14.87,136,147,1000.0,295.831,692.0,84,25,692.0,737.5999999999999,647.2,04:55,737.5999999999999,106,647.2,130,04:55
54,Warm-up,283.6,11.22,16.52,151,164,884.0,283.554,662.0,78,24,662.0,680.4000000000001,643.4000000000001,04:43,680.4000000000001,86,643.4000000000001,140,04:43
